instrument,sex,hand,id,bin_edge_1,bin_edge_2,bin_edge_3,bin_edge_4,bin_edge_5,bin_edge_6,bin_edge_7,bin_edge_8,bin_edge_9
violine,m,left,101,177.0,181.0,183.0,186.0,188.0,193.0,196.0,196.0,199.0
violine,m,left,102,79.0,81.0,82.0,84.0,85.0,86.0,86.0,87.0,90.0
violine,m,left,103,42.0,43.0,43.0,44.0,44.0,45.0,45.0,46.0,47.0
violine,m,left,104,54.0,56.0,57.0,58.0,59.0,59.0,60.0,61.0,62.0
violine,m,left,127,30.0,32.0,33.0,34.0,36.0,37.0,39.0,40.0,42.0
violine,m,left,128,51.0,53.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0
violine,m,left,143,78.0,83.0,86.0,89.0,92.0,94.0,97.0,99.0,103.0
violine,m,left,144,54.0,60.0,63.0,66.0,70.0,73.0,75.0,77.0,81.0
violine,m,left,147,20.0,33.0,44.0,57.0,69.0,77.0,80.0,87.0,93.0
violine,m,left,148,61.0,71.0,76.0,81.0,85.0,89.0,92.0,96.0,99.0
violine,m,left,149,75.0,80.0,85.0,89.0,91.0,95.0,98.0,100.0,104.0
violine,m,left,150,83.0,87.0,90.0,94.0,98.0,101.0,104.0,106.0,110.0
violine,m,left,163,7.0,10.0,13.0,14.0,16.0,18.0,22.0,28.0,31.0
violine,m,left,164,20.0,24.0,26.0,30.0,32.0,35.0,38.0,42.0,50.0
violine,m,left,181,49.0,53.0,56.0,58.0,61.0,63.0,66.0,69.0,70.0
violine,m,left,185,28.0,31.0,33.0,35.0,38.0,42.0,44.0,48.0,52.0
violine,m,left,186,18.0,22.0,24.0,27.0,29.0,31.0,32.0,35.0,39.0
violine,m,left,187,29.0,33.0,35.0,39.0,41.0,43.0,46.0,49.0,53.0
violine,m,left,188,34.0,42.0,45.0,50.0,54.0,58.0,62.0,67.0,73.0
violine,m,left,189,42.0,49.0,53.0,56.0,60.0,64.0,67.0,72.0,76.0
violine,m,left,190,47.0,57.0,59.0,62.0,70.0,74.0,77.0,82.0,89.0
violine,m,left,191,20.0,23.0,25.0,27.0,30.0,32.0,35.0,38.0,41.0
violine,m,left,194,19.0,22.0,24.0,26.0,27.0,30.0,31.0,34.0,38.0
violine,w,left,101,164.0,169.0,170.0,173.0,175.0,178.0,179.0,182.0,186.0
violine,w,left,102,72.0,73.0,74.0,75.0,76.0,77.0,78.0,80.0,80.0
violine,w,left,103,40.0,41.0,42.0,42.0,43.0,44.0,44.0,45.0,46.0
violine,w,left,104,48.0,50.0,50.0,51.0,52.0,53.0,53.0,54.0,56.0
violine,w,left,127,31.0,33.0,34.0,36.0,37.0,37.0,38.0,40.0,43.0
violine,w,left,128,45.0,46.0,47.0,49.0,49.0,50.0,51.0,53.0,55.0
violine,w,left,143,79.0,84.0,88.0,92.0,96.0,100.0,102.0,106.0,110.0
violine,w,left,144,64.0,66.0,69.0,73.0,76.0,78.0,80.0,84.0,88.0
violine,w,left,147,44.0,60.0,71.0,74.0,81.0,87.0,91.0,97.0,104.0
violine,w,left,148,73.0,81.0,85.0,91.0,95.0,98.0,101.0,108.0,117.0
violine,w,left,149,82.0,87.0,91.0,97.0,101.0,104.0,110.0,113.0,120.0
violine,w,left,150,89.0,93.0,97.0,104.0,109.0,113.0,115.0,120.0,128.0
violine,w,left,163,14.0,18.0,23.0,27.0,32.0,34.0,37.0,42.0,53.0
violine,w,left,164,30.0,33.0,39.0,45.0,48.0,51.0,54.0,58.0,67.0
violine,w,left,181,51.0,54.0,58.0,60.0,62.0,63.0,66.0,69.0,75.0
violine,w,left,185,32.0,36.0,40.0,44.0,47.0,49.0,51.0,55.0,61.0
violine,w,left,186,22.0,26.0,30.0,32.0,34.0,36.0,37.0,42.0,52.0
violine,w,left,187,37.0,40.0,45.0,46.0,50.0,52.0,56.0,58.0,66.0
violine,w,left,188,43.0,48.0,52.0,56.0,59.0,62.0,66.0,74.0,79.0
violine,w,left,189,50.0,56.0,62.0,64.0,67.0,70.0,72.0,79.0,84.0
violine,w,left,190,58.0,65.0,68.0,71.0,75.0,79.0,82.0,88.0,92.0
violine,w,left,191,22.0,25.0,27.0,29.0,31.0,34.0,36.0,37.0,40.0
violine,w,left,194,23.0,26.0,28.0,32.0,34.0,36.0,39.0,42.0,46.0
violoncello,m,left,101,183.0,184.0,186.0,187.0,189.0,190.0,193.0,199.0,201.0
violoncello,m,left,102,83.0,83.0,84.0,85.0,87.0,87.0,88.0,90.0,92.0
violoncello,m,left,103,43.0,43.0,43.0,45.0,45.0,45.0,46.0,47.0,48.0
violoncello,m,left,104,55.0,56.0,58.0,59.0,60.0,62.0,63.0,64.0,65.0
violoncello,m,left,105,89.0,90.0,90.0,90.0,91.0,93.0,95.0,97.0,99.0
violoncello,m,left,106,92.0,94.0,95.0,95.0,99.0,100.0,100.0,103.0,104.0
violoncello,m,left,124,71.0,74.0,77.0,77.0,78.0,79.0,80.0,81.0,82.0
