instrument,sex,hand,id,bin_edge,value
akkordeon,m,left,40,1,32.5
akkordeon,m,left,40,2,34.0
akkordeon,m,left,40,3,36.0
akkordeon,m,left,40,4,37.5
akkordeon,m,left,40,5,39.5
akkordeon,m,left,40,6,42.0
akkordeon,m,left,40,7,45.0
akkordeon,m,left,40,8,47.5
akkordeon,m,left,40,9,48.5
akkordeon,m,left,41,1,18.0
akkordeon,m,left,41,2,21.0
akkordeon,m,left,41,3,22.0
akkordeon,m,left,41,4,22.0
akkordeon,m,left,41,5,22.5
akkordeon,m,left,41,6,27.5
akkordeon,m,left,41,7,33.0
akkordeon,m,left,41,8,35.5
akkordeon,m,left,41,9,42.0
akkordeon,m,left,42,1,61.5
akkordeon,m,left,42,2,63.5
akkordeon,m,left,42,3,64.5
akkordeon,m,left,42,4,66.0
akkordeon,m,left,42,5,68.0
akkordeon,m,left,42,6,69.0
akkordeon,m,left,42,7,69.0
akkordeon,m,left,42,8,69.5
akkordeon,m,left,42,9,76.0
akkordeon,m,left,43,1,73.4
akkordeon,m,left,43,2,75.8
akkordeon,m,left,43,3,77.9
akkordeon,m,left,43,4,79.7
akkordeon,m,left,43,5,80.0
akkordeon,m,left,43,6,80.2
akkordeon,m,left,43,7,81.4
akkordeon,m,left,43,8,87.4
akkordeon,m,left,43,9,98.2
akkordeon,m,left,44,1,64.4
akkordeon,m,left,44,2,65.8
akkordeon,m,left,44,3,66.6
akkordeon,m,left,44,4,67.3
akkordeon,m,left,44,5,68.0
akkordeon,m,left,44,6,75.7
akkordeon,m,left,44,7,81.4
akkordeon,m,left,44,8,86.4
akkordeon,m,left,44,9,96.2
akkordeon,m,left,45,1,80.2
akkordeon,m,left,45,2,133.4
akkordeon,m,left,45,3,144.0
akkordeon,m,left,45,4,146.3
akkordeon,m,left,45,5,147.0
akkordeon,m,left,45,6,154.7
akkordeon,m,left,45,7,159.2
akkordeon,m,left,45,8,161.7
akkordeon,m,left,45,9,166.6
akkordeon,m,left,46,1,42.0
akkordeon,m,left,46,2,49.0
akkordeon,m,left,46,3,56.0
akkordeon,m,left,46,4,61.5
akkordeon,m,left,46,5,65.0
akkordeon,m,left,46,6,68.5
akkordeon,m,left,46,7,70.8
akkordeon,m,left,46,8,72.6
akkordeon,m,left,46,9,76.8
akkordeon,m,left,47,1,17.2
akkordeon,m,left,47,2,17.9
akkordeon,m,left,47,3,22.8
akkordeon,m,left,47,4,27.2
akkordeon,m,left,47,5,30.0
akkordeon,m,left,47,6,32.8
akkordeon,m,left,47,7,38.8
akkordeon,m,left,47,8,46.1
akkordeon,m,left,47,9,46.8
akkordeon,m,left,48,1,41.8
akkordeon,m,left,48,2,55.1
akkordeon,m,left,48,3,58.8
akkordeon,m,left,48,4,61.5
akkordeon,m,left,48,5,65.0
akkordeon,m,left,48,6,68.5
akkordeon,m,left,48,7,71.2
akkordeon,m,left,48,8,73.6
akkordeon,m,left,48,9,77.8
akkordeon,m,left,49,1,59.4
akkordeon,m,left,49,2,71.3
akkordeon,m,left,49,3,74.2
akkordeon,m,left,49,4,75.0
akkordeon,m,left,49,5,75.0
akkordeon,m,left,49,6,79.9
akkordeon,m,left,49,7,82.4
akkordeon,m,left,49,8,83.3
akkordeon,m,left,49,9,85.4
akkordeon,m,left,50,1,77.6
akkordeon,m,left,50,2,79.7
akkordeon,m,left,50,3,81.2
akkordeon,m,left,50,4,84.4
akkordeon,m,left,50,5,90.0
akkordeon,m,left,50,6,92.1
akkordeon,m,left,50,7,93.4
akkordeon,m,left,50,8,94.7
akkordeon,m,left,50,9,99.6
akkordeon,m,left,51,1,22.6
akkordeon,m,left,51,2,35.2
akkordeon,m,left,51,3,38.8
akkordeon,m,left,51,4,42.4
akkordeon,m,left,51,5,48.0
akkordeon,m,left,51,6,54.3
akkordeon,m,left,51,7,64.2
akkordeon,m,left,51,8,76.0
akkordeon,m,left,51,9,83.0
akkordeon,m,left,52,1,9.0
akkordeon,m,left,52,2,12.5
akkordeon,m,left,52,3,16.0
akkordeon,m,left,52,4,18.6
akkordeon,m,left,52,5,20.0
akkordeon,m,left,52,6,23.5
akkordeon,m,left,52,7,28.6
akkordeon,m,left,52,8,34.8
akkordeon,m,left,52,9,40.4
akkordeon,m,left,53,1,19.4
akkordeon,m,left,53,2,34.8
akkordeon,m,left,53,3,37.6
akkordeon,m,left,53,4,39.8
akkordeon,m,left,53,5,44.0
akkordeon,m,left,53,6,56.6
akkordeon,m,left,53,7,66.4
akkordeon,m,left,53,8,74.1
akkordeon,m,left,53,9,81.8
akkordeon,m,left,54,1,34.6
akkordeon,m,left,54,2,50.7
akkordeon,m,left,54,3,53.6
akkordeon,m,left,54,4,58.2
akkordeon,m,left,54,5,68.0
akkordeon,m,left,54,6,69.4
akkordeon,m,left,54,7,75.6
akkordeon,m,left,54,8,84.8
akkordeon,m,left,54,9,90.4
akkordeon,m,left,55,1,51.8
akkordeon,m,left,55,2,61.6
akkordeon,m,left,55,3,63.6
akkordeon,m,left,55,4,66.7
akkordeon,m,left,55,5,73.0
akkordeon,m,left,55,6,79.3
akkordeon,m,left,55,7,87.2
akkordeon,m,left,55,8,95.2
akkordeon,m,left,55,9,96.6
akkordeon,m,right,40,1,34.5
akkordeon,m,right,40,2,35.0
akkordeon,m,right,40,3,35.5
akkordeon,m,right,40,4,38.0
akkordeon,m,right,40,5,40.0
akkordeon,m,right,40,6,40.0
akkordeon,m,right,40,7,41.5
akkordeon,m,right,40,8,45.5
akkordeon,m,right,40,9,49.0
akkordeon,m,right,41,1,17.5
akkordeon,m,right,41,2,19.5
akkordeon,m,right,41,3,21.5
akkordeon,m,right,41,4,23.0
akkordeon,m,right,41,5,25.0
akkordeon,m,right,41,6,27.5
akkordeon,m,right,41,7,29.0
akkordeon,m,right,41,8,33.0
akkordeon,m,right,41,9,38.0
akkordeon,m,right,42,1,59.0
akkordeon,m,right,42,2,60.5
akkordeon,m,right,42,3,62.5
akkordeon,m,right,42,4,63.5
akkordeon,m,right,42,5,66.0
akkordeon,m,right,42,6,69.0
akkordeon,m,right,42,7,70.0
akkordeon,m,right,42,8,71.5
akkordeon,m,right,42,9,74.0
akkordeon,m,right,43,1,76.0
akkordeon,m,right,43,2,76.0
akkordeon,m,right,43,3,76.0
akkordeon,m,right,43,4,76.0
akkordeon,m,right,43,5,76.0
akkordeon,m,right,43,6,76.0
akkordeon,m,right,43,7,76.0
akkordeon,m,right,43,8,76.0
akkordeon,m,right,43,9,76.0
akkordeon,m,right,44,1,80.0
akkordeon,m,right,44,2,80.0
akkordeon,m,right,44,3,80.0
akkordeon,m,right,44,4,80.0
akkordeon,m,right,44,5,80.0
akkordeon,m,right,44,6,80.0
akkordeon,m,right,44,7,80.0
akkordeon,m,right,44,8,80.0
akkordeon,m,right,44,9,80.0
akkordeon,m,right,45,1,156.0
akkordeon,m,right,45,2,156.0
akkordeon,m,right,45,3,156.0
akkordeon,m,right,45,4,156.0
akkordeon,m,right,45,5,156.0
akkordeon,m,right,45,6,156.0
akkordeon,m,right,45,7,156.0
